survey_name,interview_date,satis_score,ease_score,likely_recomm,login_rating,nav_rating,web_rating,func_rating,ibiz_rating,features_rating,security_rating,dept_org_unit,prod_type,age
Digital Banking,1/15/2020,2,7,10,3,4,7,2,,3,7,CB ,Loans,73
Business Banking,1/15/2020,6,7,10,,,,,,,,BB ,Deposits,
Retail Banking,1/15/2020,5,3,8,,,,,,,,CB ,Deposits,73
Digital Banking,1/15/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,63
Business Banking,1/16/2020,7,7,10,,,,,,,,BB ,Deposits,
Mortgage Post Application,1/16/2020,7,5,8,,,,,,,,,,54
New Account,1/28/2020,7,7,8,,,,,,,,CB ,Deposits,22
Business Banking,1/28/2020,7,7,10,,,,,,,,CB ,Deposits,
Business Banking,1/10/2020,6,7,10,,,,,,,,PB ,Deposits,
Closed Account,1/18/2020,7,7,10,,,,,,,,CB ,Deposits,67
Digital Banking,1/23/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,60
Digital Banking,1/24/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,69
Business Banking,1/24/2020,7,7,10,,,,,,,,BB ,Loans,
Business Banking,1/24/2020,7,7,10,,,,,,,,BB ,Deposits,
Digital Banking,1/24/2020,6,6,9,7,7,7,6,,5,7,CB ,Deposits,68
Mortgage Post Application,1/18/2020,7,7,10,,,,,,,,,,49
Loan,1/18/2020,7,7,10,,,,,,,,CB ,Loans,41
