survey_name,interview_date,satis_score,ease_score,likely_recomm,login_rating,nav_rating,web_rating,func_rating,features_rating,security_rating,dept_org_unit,prod_type,age
Digital Banking,4/17/2020,5,5,9,6,4,3,5,6,6,CB ,Deposits,76
Digital Banking,4/13/2020,5,7,10,7,6,5,6,7,7,CB ,Deposits,56
Digital Banking,4/16/2020,4,5,5,4,4,5,4,4,6,CB ,Deposits,21
Digital Banking,4/14/2020,1,2,0,1,1,1,1,1,1,CB ,Loans,52
Digital Banking,4/16/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,53
Digital Banking,4/14/2020,6,6,8,6,5,5,6,6,6,CB ,Deposits,32
Digital Banking,4/13/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,57
Digital Banking,4/17/2020,6,7,10,7,7,7,7,7,7,CB ,Deposits,50
Digital Banking,4/13/2020,7,7,10,6,6,6,6,7,7,BB ,Deposits,73
Digital Banking,4/13/2020,7,7,10,7,6,6,6,6,7,CB ,Deposits,63
Digital Banking,4/16/2020,1,3,2,5,4,5,2,2,5,CB ,Loans,53
Digital Banking,4/16/2020,7,7,10,7,7,6,7,7,7,CB ,Deposits,66
Digital Banking,4/16/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,68
Digital Banking,4/13/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,67
Digital Banking,4/13/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,52
Digital Banking,4/14/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,57
Digital Banking,4/14/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,75
Digital Banking,4/16/2020,6,7,9,6,6,4,6,6,6,PB ,Deposits,39
Digital Banking,4/14/2020,7,7,10,6,7,6,6,7,7,CB ,Deposits,62
Digital Banking,4/14/2020,6,7,10,7,7,6,7,7,7,CB ,Deposits,63
Digital Banking,4/16/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,73
Digital Banking,4/16/2020,7,7,10,7,7,7,7,7,7,CB ,Loans,72
Digital Banking,4/16/2020,6,7,10,6,6,7,6,7,7,CB ,Deposits,64
Digital Banking,4/15/2020,4,6,10,5,4,6,6,5,6,CB ,Loans,66
Digital Banking,4/15/2020,3,6,8,6,3,5,3,6,6,CB ,Deposits,49
Digital Banking,4/15/2020,7,7,9,7,7,7,6,7,7,CB ,Deposits,75
Digital Banking,4/15/2020,7,7,10,7,7,7,7,7,7,PB ,Loans,70
Digital Banking,4/17/2020,6,7,10,7,7,5,6,6,6,CB ,Deposits,67
Digital Banking,4/17/2020,7,7,10,7,7,7,4,5,7,CB ,Deposits,72
Digital Banking,4/16/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,72
Digital Banking,4/16/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,71
Digital Banking,4/16/2020,7,7,10,6,7,7,7,7,7,CB ,Deposits,78
