survey_name,month,interview_date,satis_rating,avg_sat_rating,ease_rating,recommend_rating,login_rating,navig_rating,web_rating,function_rating,feature_rating,security_rating,dept_org_unit,product,zipcode,age,
Digital Banking,2020M03,3/25/2020,7,,7,10,7,7,6,6,6,7,CB ,Deposits,78244,65,
Digital Banking,2020M03,3/25/2020,6,,5,8,6,4,4,5,5,5,CB ,Deposits,78248,71,
Digital Banking,2020M03,3/27/2020,7,,7,10,7,7,7,7,7,7,PB ,Deposits,78132,71,
Digital Banking,2020M03,3/26/2020,6,,6,9,6,6,6,6,6,6,CB ,Deposits,78029,49,
Digital Banking,2020M03,3/25/2020,5,,6,8,5,5,3,4,5,6,CB ,Deposits,78676,50,
Digital Banking,2020M03,3/5/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78242,62,
Digital Banking,2020M03,3/27/2020,7,,7,9,7,7,6,6,7,7,CB ,Deposits,78230,75,
Digital Banking,2020M03,3/27/2020,6,,7,10,6,7,6,6,7,7,CB ,Deposits,78209,67,
Digital Banking,2020M03,3/28/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78606,44,
Digital Banking,2020M03,3/17/2020,7,,7,10,7,7,7,7,7,7,PB ,Deposits,78738,72,
Digital Banking,2020M03,3/23/2020,6,,7,9,6,6,7,7,7,7,BB ,Deposits,78232,71,
Digital Banking,2020M03,3/24/2020,7,,7,10,7,7,7,6,6,7,CB ,Deposits,78028,57,
Digital Banking,2020M03,3/24/2020,7,,7,10,7,6,7,6,6,7,CB ,Deposits,78217,71,
Digital Banking,2020M03,3/24/2020,7,,7,10,7,7,7,6,7,7,CB ,Loans,78015,72,
Digital Banking,2020M03,3/24/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78219,73,
Digital Banking,2020M03,3/12/2020,7,,4,8,7,7,7,7,7,7,BB ,Deposits,78114,63,
Digital Banking,2020M03,3/12/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78006,69,
Digital Banking,2020M03,3/12/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78213,77,
Digital Banking,2020M03,3/13/2020,7,,7,10,6,6,6,6,7,7,BB ,Deposits,78208,69,
Digital Banking,2020M03,3/13/2020,7,,7,10,7,7,7,6,7,7,CB ,Deposits,78633,80,
Digital Banking,2020M03,3/4/2020,6,,6,9,6,6,6,6,6,6,CB ,Deposits,78229,62,
Digital Banking,2020M03,3/4/2020,6,,6,9,7,7,7,7,7,7,CB ,Deposits,78245,52,
Digital Banking,2020M03,3/24/2020,5,,7,10,5,6,7,5,6,6,CB ,Deposits,78070,71,
Digital Banking,2020M03,3/25/2020,7,,5,9,7,7,7,5,7,7,CB ,Deposits,78655,45,
Digital Banking,2020M03,3/25/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78861,56,
Digital Banking,2020M03,3/18/2020,5,,6,8,6,6,5,5,6,6,PB ,Deposits,78212,60,
Digital Banking,2020M03,3/14/2020,7,,7,10,7,7,7,7,7,7,CB ,Loans,78009,56,
Digital Banking,2020M03,3/24/2020,5,,5,8,3,3,3,3,4,4,BB ,Deposits,78255,79,
Digital Banking,2020M03,3/24/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78247,72,
Digital Banking,2020M03,3/13/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78255,69,
Digital Banking,2020M03,3/24/2020,7,,7,10,7,7,7,7,6,7,PB ,Deposits,78212,48,
Digital Banking,2020M03,3/23/2020,2,,3,2,4,5,6,1,2,4,CB ,Deposits,78232,80,
Digital Banking,2020M03,3/16/2020,6,,6,8,5,5,5,5,6,6,CB ,Loans,78250,56,
Digital Banking,2020M03,3/18/2020,7,,7,6,5,7,7,7,7,7,CB ,Deposits,78232,66,
